filename,Width_in,Height_in,Confidence
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1726,0.891
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.2589,0.1294,0.89
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.3883,0.2157,0.8817
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1726,0.8809
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1294,0.8771
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.2589,0.1294,0.8767
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1294,0.8764
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.3452,0.2157,0.8756
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1294,0.8702
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1726,0.8698
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1294,0.8684
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1294,0.8677
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1294,0.8521
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1294,0.8517
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.3452,0.1726,0.8466
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1294,0.8008
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1294,0.7936
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1294,0.7401
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.302,0.1294,0.663
251010_070213_0000043546_CAM1_NG_bmp.rf.85474699b700965f988b2727b0e60d47.jpg,0.1726,0.1294,0.6316
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3883,0.2157,0.9352
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3452,0.1726,0.9077
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.2589,0.1294,0.9042
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.302,0.1294,0.8995
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3452,0.1726,0.8927
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3452,0.1726,0.8918
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.2589,0.1294,0.8897
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3452,0.1726,0.8839
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3452,0.1726,0.882
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3452,0.2157,0.8714
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3452,0.1726,0.8711
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3452,0.1726,0.8699
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3452,0.1726,0.8664
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.302,0.1294,0.8313
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3883,0.2157,0.8127
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.302,0.1294,0.809
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.2589,0.1294,0.7986
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.2589,0.1294,0.7902
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.302,0.1294,0.7321
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.2589,0.1294,0.7183
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.3452,0.1726,0.6615
251010_115853_0000080436_CAM1_NG_bmp.rf.41066d6315699ec4578a80fee8f0b126.jpg,0.1294,0.1294,0.5092
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3452,0.1726,0.9238
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3452,0.1726,0.9189
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3452,0.2157,0.9114
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3452,0.1726,0.9085
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.2589,0.1294,0.9054
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.302,0.1294,0.8903
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3883,0.2157,0.887
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3452,0.2157,0.884
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.2589,0.1294,0.878
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.302,0.1294,0.8644
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.2589,0.1294,0.8573
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3452,0.1726,0.8236
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.302,0.0863,0.7646
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.302,0.1294,0.7457
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3452,0.1726,0.7218
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3452,0.2157,0.7044
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3452,0.2157,0.6805
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3883,0.2157,0.6436
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.2589,0.1294,0.6397
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3883,0.1726,0.6254
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.3452,0.1726,0.5954
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.1294,0.1294,0.5826
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.302,0.1294,0.5743
251010_114835_0000080386_CAM1_NG_bmp.rf.2f9148e781a2ade6ed5a3b8e30156eb8.jpg,0.302,0.1294,0.5446
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3883,0.2157,0.9564
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3452,0.2157,0.9383
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3452,0.1726,0.9359
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3452,0.2157,0.9299
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3452,0.2157,0.9263
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3452,0.1726,0.9238
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3452,0.1726,0.918
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3883,0.2157,0.9144
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3883,0.1726,0.9098
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3452,0.1726,0.9002
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3452,0.1726,0.8923
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3883,0.1726,0.8883
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.302,0.1294,0.8768
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3452,0.2157,0.8737
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.2589,0.1294,0.8638
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.302,0.1294,0.8627
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.2589,0.1726,0.8592
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.302,0.1294,0.8565
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.2589,0.1294,0.844
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.302,0.1726,0.8316
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.302,0.1294,0.828
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.302,0.1294,0.8234
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.302,0.1294,0.8157
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.302,0.1294,0.8074
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.302,0.1294,0.7674
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.302,0.1294,0.7473
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.1294,0.1294,0.7307
251010_124911_0000080574_CAM1_NG_bmp.rf.19ab907b4986bb6ac52a7279c105317c.jpg,0.3883,0.1726,0.6767
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.1726,0.9332
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.302,0.1726,0.9272
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.1726,0.9182
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3883,0.1726,0.897
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.1726,0.8964
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.1726,0.895
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.2157,0.8879
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.1726,0.8863
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.2157,0.8796
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.2589,0.1294,0.8782
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.1726,0.8757
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.1294,0.8716
