epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,832.983,1.63997,1.88234,0.80673,0.9593,0.63245,0.68884,0.43536,1.30565,0.9889,0.80335,0.000331429,0.000331429,0.000331429
2,1894.14,1.31674,0.83813,0.77588,0.92914,0.64593,0.67975,0.46354,1.15308,0.6415,0.79743,0.000642825,0.000642825,0.000642825
3,2788.28,1.24356,0.71147,0.77312,0.96409,0.66901,0.69871,0.45965,1.17348,0.57202,0.79218,0.000932221,0.000932221,0.000932221
4,3668.56,1.20872,0.65585,0.77166,0.95084,0.65677,0.69083,0.47802,1.07236,0.55688,0.79349,0.000901,0.000901,0.000901
5,6140.77,1.1532,0.60942,0.7699,0.71294,0.65298,0.68725,0.46816,1.11885,0.55174,0.79377,0.000868,0.000868,0.000868
6,7122.42,1.10451,0.57577,0.76759,0.7129,0.66149,0.69274,0.49832,0.9982,0.47635,0.78857,0.000835,0.000835,0.000835
7,8104.44,1.10758,0.55291,0.76677,0.70189,0.65806,0.68996,0.50869,0.97873,0.45367,0.7891,0.000802,0.000802,0.000802
8,9090.24,1.05379,0.51649,0.7646,0.7031,0.66125,0.68974,0.49474,1.04941,0.46303,0.78756,0.000769,0.000769,0.000769
9,12031.3,1.04033,0.50538,0.76548,0.70099,0.65527,0.68217,0.50398,0.98187,0.44978,0.78964,0.000736,0.000736,0.000736
10,13007.9,1.03205,0.49725,0.76313,0.70964,0.64395,0.68621,0.52157,0.90888,0.41719,0.78662,0.000703,0.000703,0.000703
11,14005.4,1.01335,0.48861,0.7619,0.70806,0.66796,0.69677,0.52379,0.92706,0.41615,0.7864,0.00067,0.00067,0.00067
12,16012.6,0.99713,0.4716,0.7608,0.71431,0.66364,0.70349,0.53236,0.89169,0.41075,0.78613,0.000637,0.000637,0.000637
13,16972.9,0.9686,0.45702,0.76041,0.69337,0.66594,0.69035,0.53018,0.90977,0.4133,0.78741,0.000604,0.000604,0.000604
14,17957.9,0.95619,0.45697,0.76112,0.70506,0.66893,0.6987,0.54276,0.85845,0.39811,0.7851,0.000571,0.000571,0.000571
15,18943.5,0.94667,0.44935,0.7603,0.70037,0.66095,0.69532,0.53952,0.88216,0.39205,0.78503,0.000538,0.000538,0.000538
16,22327.3,0.92545,0.44665,0.75846,0.70973,0.65524,0.69155,0.53952,0.84958,0.39119,0.78576,0.000505,0.000505,0.000505
17,23290.5,0.90756,0.43257,0.75901,0.72359,0.63864,0.6874,0.53779,0.84421,0.38386,0.78487,0.000472,0.000472,0.000472
18,24284.9,0.92223,0.43832,0.75928,0.95285,0.66347,0.69939,0.54068,0.87409,0.39078,0.78394,0.000439,0.000439,0.000439
19,25195.7,0.90663,0.43108,0.75764,0.70727,0.65781,0.69202,0.54323,0.85204,0.38346,0.78489,0.000406,0.000406,0.000406
20,28611.3,0.88007,0.42103,0.75852,0.95795,0.66972,0.69972,0.54788,0.83548,0.38081,0.78356,0.000373,0.000373,0.000373
21,29561.3,0.88806,0.43991,0.76402,0.71963,0.66165,0.70109,0.53905,0.8748,0.39897,0.78518,0.00034,0.00034,0.00034
22,30354,0.86055,0.42164,0.76081,0.70436,0.6668,0.69507,0.54182,0.84223,0.38746,0.78373,0.000307,0.000307,0.000307
23,31179.6,0.84599,0.41026,0.76098,0.97675,0.66608,0.72882,0.55212,0.84423,0.37039,0.7841,0.000274,0.000274,0.000274
24,32017.4,0.82728,0.40558,0.76189,0.95034,0.6685,0.73261,0.56101,0.82765,0.37865,0.7839,0.000241,0.000241,0.000241
25,50244.3,0.8119,0.40326,0.76099,0.97361,0.66278,0.72159,0.55354,0.82078,0.3686,0.78443,0.000208,0.000208,0.000208
26,51029,0.80601,0.39375,0.76054,0.95284,0.66236,0.71878,0.56335,0.80051,0.35195,0.78299,0.000175,0.000175,0.000175
27,72566.5,0.78647,0.38635,0.76002,0.9664,0.66294,0.7249,0.56126,0.82217,0.35766,0.7823,0.000142,0.000142,0.000142
28,76146.3,0.77586,0.37881,0.76089,0.9686,0.66801,0.72203,0.5623,0.81114,0.35558,0.78361,0.000109,0.000109,0.000109
29,76952.6,0.7721,0.37418,0.76033,0.95849,0.66138,0.71976,0.56735,0.79256,0.35196,0.78285,7.6e-05,7.6e-05,7.6e-05
30,77814,0.76137,0.37181,0.75846,0.95621,0.66582,0.71637,0.56845,0.77002,0.34825,0.78222,4.3e-05,4.3e-05,4.3e-05
