image_name,class_name,r,g,b,Brightness,Width_in,Height_in,Confidence,hex_color
251107_232048_0000097186_CAM1_NG_bmp.rf.8206efdfa65d9682080ff04229bdbc25.jpg,incorrect qblock,178,178,178,178.0,0.27,0.1125,0.6028,#b2b2b2
251107_232048_0000097186_CAM1_NG_bmp.rf.8206efdfa65d9682080ff04229bdbc25.jpg,incorrect qblock,193,193,193,193.0,0.27,0.1125,0.5737,#c1c1c1
251107_232048_0000097186_CAM1_NG_bmp.rf.8206efdfa65d9682080ff04229bdbc25.jpg,incorrect qblock,191,191,191,191.0,0.27,0.135,0.564,#bfbfbf
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,179,179,179,179.0,0.36,0.18,0.8865,#b3b3b3
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,179,179,179,179.0,0.3375,0.18,0.8625,#b3b3b3
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,167,167,167,167.0,0.36,0.2025,0.8085,#a7a7a7
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,179,179,179,179.0,0.36,0.18,0.8071,#b3b3b3
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,185,185,185,185.0,0.36,0.18,0.7993,#b9b9b9
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,198,198,198,198.0,0.36,0.18,0.7466,#c6c6c6
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,183,183,183,183.0,0.3375,0.18,0.7419,#b7b7b7
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,184,184,184,184.0,0.27,0.1125,0.734,#b8b8b8
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,182,182,182,182.0,0.2925,0.1125,0.7196,#b6b6b6
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,189,189,189,189.0,0.27,0.1125,0.7046,#bdbdbd
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,178,178,178,178.0,0.27,0.1125,0.68,#b2b2b2
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,184,184,184,184.0,0.2925,0.09,0.6735,#b8b8b8
